Escudería,Puntos
Red Bull Racing,860.0
Mercedes,409.0
Ferrari,406.0
McLaren,302.0
Aston Martin,280.0
Alpine,120.0
Williams,28.0
AlphaTauri,25.0
Alfa Romeo,16.0
Haas F1 Team,12.0
