Circuito,País,Fecha Inicio,Año,Cancelado
Melbourne,Australia,2026-03-08T04:00:00+00:00,2026,False
Shanghai,China,2026-03-15T07:00:00+00:00,2026,False
Suzuka,Japan,2026-03-29T05:00:00+00:00,2026,False
Sakhir,Bahrain,2026-04-12T15:00:00+00:00,2026,True
Jeddah,Saudi Arabia,2026-04-19T17:00:00+00:00,2026,True
Miami,United States,2026-05-03T17:00:00+00:00,2026,False
Montreal,Canada,2026-05-24T20:00:00+00:00,2026,False
Monte Carlo,Monaco,2026-06-07T13:00:00+00:00,2026,False
Catalunya,Spain,2026-06-14T13:00:00+00:00,2026,False
Spielberg,Austria,2026-06-28T13:00:00+00:00,2026,False
Silverstone,United Kingdom,2026-07-05T14:00:00+00:00,2026,False
Spa-Francorchamps,Belgium,2026-07-19T13:00:00+00:00,2026,False
Hungaroring,Hungary,2026-07-26T13:00:00+00:00,2026,False
Zandvoort,Netherlands,2026-08-23T13:00:00+00:00,2026,False
Monza,Italy,2026-09-06T13:00:00+00:00,2026,False
Madring,Spain,2026-09-13T13:00:00+00:00,2026,False
Baku,Azerbaijan,2026-09-26T11:00:00+00:00,2026,False
Singapore,Singapore,2026-10-11T12:00:00+00:00,2026,False
Austin,United States,2026-10-25T20:00:00+00:00,2026,False
Mexico City,Mexico,2026-11-01T20:00:00+00:00,2026,False
Interlagos,Brazil,2026-11-08T17:00:00+00:00,2026,False
Las Vegas,United States,2026-11-22T04:00:00+00:00,2026,False
Lusail,Qatar,2026-11-29T16:00:00+00:00,2026,False
Yas Marina Circuit,United Arab Emirates,2026-12-06T13:00:00+00:00,2026,False
