Nombre,Puntos
Max VERSTAPPEN,575.0
Sergio PEREZ,285.0
Lewis HAMILTON,234.0
Fernando ALONSO,206.0
Charles LECLERC,206.0
Lando NORRIS,205.0
Carlos SAINZ,200.0
George RUSSELL,175.0
Oscar PIASTRI,97.0
Lance STROLL,74.0
Pierre GASLY,62.0
Esteban OCON,58.0
Alexander ALBON,27.0
Yuki TSUNODA,17.0
Valtteri BOTTAS,10.0
Nico HULKENBERG,9.0
Daniel RICCIARDO,6.0
ZHOU Guanyu,6.0
Kevin MAGNUSSEN,3.0
Unknown,2.0
Logan SARGEANT,1.0
Unknown,0.0
