Piloto,Calificación Final,Puntos
M VERSTAPPEN,1,437.0
L NORRIS,2,374.0
C LECLERC,3,356.0
O PIASTRI,4,292.0
C SAINZ,5,290.0
G RUSSELL,6,245.0
L HAMILTON,7,223.0
S PEREZ,8,152.0
F ALONSO,9,70.0
P GASLY,10,42.0
N HULKENBERG,11,41.0
Y TSUNODA,12,30.0
L STROLL,13,24.0
31,14,23.0
K MAGNUSSEN,15,16.0
A ALBON,16,12.0
3,17,12.0
50,18,7.0
F COLAPINTO,19,5.0
G ZHOU,20,4.0
L LAWSON,21,4.0
V BOTTAS,22,0.0
2,23,0.0
J DOOHAN,24,0.0
