Nombre,Puntos
M VERSTAPPEN,575.0
S PEREZ,285.0
L HAMILTON,234.0
F ALONSO,206.0
C LECLERC,206.0
L NORRIS,205.0
C SAINZ,200.0
G RUSSELL,175.0
O PIASTRI,97.0
L STROLL,74.0
P GASLY,62.0
E OCON,58.0
A ALBON,27.0
Y TSUNODA,17.0
V BOTTAS,10.0
N HULKENBERG,9.0
D RICCIARDO,6.0
G ZHOU,6.0
K MAGNUSSEN,3.0
Unknown,2.0
L SARGEANT,1.0
Unknown,0.0
