posicion,puntos,piloto
1,423,Lando Norris
2,421,Max Verstappen
3,410,Oscar Piastri
4,319,George Russell
5,242,Charles Leclerc
6,156,Lewis Hamilton
7,150,Andrea Kimi Antonelli
8,73,Alexander Albon
9,64,Carlos Sainz
10,56,Fernando Alonso
11,51,Nico Hülkenberg
12,51,Isack Hadjar
13,41,Oliver Bearman
14,38,Liam Lawson
15,38,Esteban Ocon
16,33,Lance Stroll
17,33,Yuki Tsunoda
18,22,Pierre Gasly
19,19,Gabriel Bortoleto
20,0,Franco Colapinto
21,0,Jack Doohan
