Circuito,País,Fecha Inicio,Año,Cancelado
Sakhir,Bahrain,2024-03-02T15:00:00+00:00,2024,False
Jeddah,Saudi Arabia,2024-03-09T17:00:00+00:00,2024,False
Melbourne,Australia,2024-03-24T04:00:00+00:00,2024,False
Suzuka,Japan,2024-04-07T05:00:00+00:00,2024,False
Shanghai,China,2024-04-21T07:00:00+00:00,2024,False
Miami,United States,2024-05-05T20:00:00+00:00,2024,False
Imola,Italy,2024-05-19T13:00:00+00:00,2024,False
Monte Carlo,Monaco,2024-05-26T13:00:00+00:00,2024,False
Montreal,Canada,2024-06-09T18:00:00+00:00,2024,False
Catalunya,Spain,2024-06-23T13:00:00+00:00,2024,False
Spielberg,Austria,2024-06-30T13:00:00+00:00,2024,False
Silverstone,United Kingdom,2024-07-07T14:00:00+00:00,2024,False
Hungaroring,Hungary,2024-07-21T13:00:00+00:00,2024,False
Spa-Francorchamps,Belgium,2024-07-28T13:00:00+00:00,2024,False
Zandvoort,Netherlands,2024-08-25T13:00:00+00:00,2024,False
Monza,Italy,2024-09-01T13:00:00+00:00,2024,False
Baku,Azerbaijan,2024-09-15T11:00:00+00:00,2024,False
Singapore,Singapore,2024-09-22T12:00:00+00:00,2024,False
Austin,United States,2024-10-20T19:00:00+00:00,2024,False
Mexico City,Mexico,2024-10-27T20:00:00+00:00,2024,False
Interlagos,Brazil,2024-11-03T15:30:00+00:00,2024,False
Las Vegas,United States,2024-11-24T06:00:00+00:00,2024,False
Lusail,Qatar,2024-12-01T16:00:00+00:00,2024,False
Yas Marina Circuit,United Arab Emirates,2024-12-08T13:00:00+00:00,2024,False
