Nombre,Puntos
Lando NORRIS,423.0
Max VERSTAPPEN,421.0
Oscar PIASTRI,410.0
George RUSSELL,319.0
Charles LECLERC,242.0
Lewis HAMILTON,156.0
Kimi ANTONELLI,150.0
Alexander ALBON,73.0
Carlos SAINZ,64.0
Fernando ALONSO,56.0
Nico HULKENBERG,51.0
Isack HADJAR,51.0
Oliver BEARMAN,41.0
Liam LAWSON,38.0
Esteban OCON,38.0
Lance STROLL,33.0
Yuki TSUNODA,33.0
Pierre GASLY,22.0
Gabriel BORTOLETO,19.0
Jack DOOHAN,0.0
