Escudería,Puntos
McLaren,833.0
Mercedes,469.0
Red Bull Racing,451.0
Ferrari,398.0
Williams,137.0
Racing Bulls,92.0
Aston Martin,89.0
Haas F1 Team,79.0
Kick Sauber,70.0
Alpine,22.0
