Escudería,Puntos
McLaren,666.0
Ferrari,652.0
Red Bull Racing,589.0
Mercedes,468.0
Aston Martin,94.0
Alpine,65.0
Haas F1 Team,58.0
RB,46.0
Williams,17.0
Kick Sauber,4.0
